Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Main Wing,706.655499,706.655499,239.727036,239.727036
Main Wing,706.655499,706.655499,239.727036,239.727036
Totals,1413.310997,1413.310997,479.454072,479.454072

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Main Wing_S_Surf0,466.498723,466.498723
Main Wing_S_Surf1,466.498723,466.498723
Main Wing_S_Surf0,TE Flaps,92.500473,92.500473
Main Wing_S_Surf0,LE Slats,59.177788,59.177788
Main Wing_S_Surf0,Fold Line,63.696648,63.696648
Main Wing_S_Surf1,TE Flaps,92.500473,92.500473
Main Wing_S_Surf1,LE Slats,59.177788,59.177788
Main Wing_S_Surf1,Fold Line,63.696648,63.696648
Main Wing_S_Surf0,Ailerons,Fold Line,24.781866,24.781866
Main Wing_S_Surf1,Ailerons,Fold Line,24.781866,24.781866

SS_Name, SS_Theo_Area, SS_Wet_Area
Main Wing,TE Flaps,185.000947,185.000947
Main Wing,LE Slats,118.355576,118.355576
Main Wing,Fold Line,176.957027,176.957027
Main Wing,Ailerons,49.563732,49.563732
